Subject,Time,MPRAGE,Rest,FieldMap,tSNR,Relative Motion Mean,Relative Motion Median,Relative Motion SD,Relative Motion Variance,Relative Motion Max,Absolute Motion Mean,Absolute Motion Median,Absolute Motion SD,Absolute Motion Variance,Absolute Motion Max,FD Mean,FD Median,FD SD,FD Variance,FD Min,FD Max
416,2,1,1,1,56.775309,0.183719248,0.1790925,0.08648099,0.007478962,0.530312,0.338934302,0.2826795,0.186968505,0.034957223,0.930667,0.351586848,0.31282812,0.185854867,0.034542032,0.0759833,1.1493641
424,1,1,1,1,71.055863,0.104024939,0.09907585,0.044259802,0.00195893,0.246312,0.223182127,0.1734705,0.160594016,0.02579044,0.88475,0.183201909,0.17083159,0.081011191,0.006562814,0.0406666,0.43073098
424,2,1,1,1,75.955515,0.117751293,0.1148005,0.060823858,0.003699542,0.396732,0.237566501,0.2071375,0.142913163,0.02042417,0.613366,0.201227054,0.1908829,0.101505212,0.010303308,0.0236682,0.7026898
429,1,1,1,1,53.314627,0.117953405,0.0867971,0.226944342,0.051503733,2.1773,0.402581692,0.232462,0.488727599,0.238854676,2.40009,0.219286591,0.1516934,0.481496185,0.231838569,0.0321373,4.714041
429,2,1,1,1,49.355897,0.116857648,0.112751,0.0730353,0.005334155,0.323516,0.325293183,0.2013405,0.297407269,0.08845108,1.3433,0.224627227,0.1934116,0.146155849,0.021361532,0.03085369,0.6799847
431,1,1,1,1,62.048801,0.179171801,0.1689245,0.094233125,0.008879882,0.546294,0.223801598,0.2164095,0.105821393,0.011198167,0.609469,0.312937826,0.3047811,0.157102987,0.024681346,0.0348099,0.90867119
431,2,1,1,1,56.880164,0.232247844,0.226212,0.100669593,0.010134366,0.464752,0.317672759,0.282059,0.151113093,0.022835167,0.751202,0.398933977,0.3749226,0.167764097,0.028144794,0.1023159,0.8709446
435,1,1,1,1,67.71808,0.093693264,0.0844441,0.048226051,0.002325752,0.362572,0.282999158,0.247971,0.183864728,0.033806238,0.77388,0.178971961,0.16337556,0.089261912,0.007967689,0.0451989,0.5441016
435,2,1,1,1,65.026609,0.15171665,0.1317845,0.099152319,0.009831182,0.509041,0.204231173,0.204182,0.082474321,0.006802013,0.525604,0.27308315,0.23500257,0.180807784,0.032691456,0.02529148,1.1658076
460,1,1,1,1,62.28966,0.13551724,0.135309,0.056101602,0.00314739,0.376874,0.20268555,0.1945385,0.092378944,0.008533869,0.437676,0.247189447,0.22700769,0.100279748,0.010056027,0.0805694,0.6394571
460,2,1,1,1,54.297022,0.152257279,0.134614,0.071571052,0.005122415,0.432386,0.325782806,0.255014,0.182669535,0.033368159,0.941397,0.273087382,0.2457832,0.114098832,0.013018543,0.0743356,0.6310278
463,1,1,1,1,48.676309,0.291054964,0.23156,0.316710383,0.10030546,3.48531,0.640567243,0.5103595,0.494422495,0.244453594,3.04207,0.535387337,0.414989,0.644647241,0.41557005,0.1158188,5.806444
464,1,1,1,1,50.815189,0.173810571,0.17006,0.070040636,0.004905691,0.401948,0.742348909,0.7104295,0.428460717,0.183578581,1.48433,0.314080894,0.2917896,0.137969181,0.019035494,0.0851191,0.80534
464,2,1,1,1,72.722497,0.103161536,0.109708,0.040044893,0.001603593,0.207607,0.231269032,0.219079,0.11339663,0.012858796,0.435283,0.194889307,0.1981057,0.073236167,0.005363536,0.0461439,0.36499862
